client_id,start_date,end_date,type,terms
1,"2022-03-15","2024-03-15","mantenimiento preventivo","Contrato de mantenimiento preventivo anual."
2,"2023-01-10","2025-01-10","servicio integral","Contrato que cubre mantenimiento preventivo y correctivo."
3,"2024-01-01","2027-01-01","garantia extendida","Extensión de garantía por 3 años."
4,"2020-05-20","2021-05-20","instalacion","Contrato relacionado con la instalación de un equipo."
5,"2023-11-01","2025-11-01","mantenimiento preventivo","Contrato de mantenimiento preventivo bienal."
6,"2024-02-18","2026-02-18","servicio integral","Servicio integral de equipos HVAC."
7,"2022-07-01","2025-07-01","garantia extendida","Garantía adicional por 3 años para termostato."
8,"2024-03-01","2025-03-01","mantenimiento preventivo","Mantenimiento anual para purificador de aire."
9,"2021-04-01","2024-04-01","servicio integral","Contrato de servicio completo para sistema de calefacción."
10,"2023-09-10","2025-09-10","mantenimiento preventivo","Mantenimiento programado para bomba de calor."
11,"2024-05-01","2026-05-01","garantia extendida","Garantía extendida para unidad mini-split."
12,"2023-02-15","2025-02-15","mantenimiento preventivo","Revisión anual termo eléctrico."
13,"2024-06-01","2029-06-01","garantia extendida","Extensión de garantía de panel solar por 5 años."
14,"2023-07-01","2025-07-01","mantenimiento preventivo","Mantenimiento periódico de sensores."
15,"2022-09-20","2024-09-20","servicio integral","Contrato integral para sistema multi-zona."
16,"2021-11-11","2024-11-11","mantenimiento preventivo","Mantenimiento anual de radiadores."
17,"2024-08-01","2026-08-01","garantia extendida","Garantía extendida para VRC."
18,"2024-04-01","2025-04-01","mantenimiento preventivo","Revisión anual medidor de energía."
19,"2023-10-25","2025-10-25","mantenimiento preventivo","Mantenimiento anual acumulador ACS."
20,"2024-07-10","2026-07-10","garantia extendida","Garantía extendida para AC portátil."
21,"2024-03-10","2025-03-10","instalacion","Contrato de instalación de un split nuevo."
22,"2023-04-11","2025-04-11","servicio integral","Servicio integral para caldera."
23,"2024-01-20","2026-01-20","garantia extendida","Garantía extendida sensor de movimiento."
24,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía batería solar por 5 años."
25,"2021-09-01","2024-09-01","mantenimiento preventivo","Mantenimiento anual bomba circuladora."
26,"2022-07-07","2025-07-07","servicio integral","Servicio integral sistema central por ductos."
27,"2024-01-20","2026-01-20","garantia extendida","Garantía extendida detector de presencia."
28,"2022-10-19","2025-10-19","servicio integral","Servicio integral termo bomba de calor ACS."
29,"2023-02-28","2025-02-28","mantenimiento preventivo","Mantenimiento preventivo suelo radiante."
30,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía kit montaje solar por 5 años."
31,"2023-06-21","2025-06-21","mantenimiento preventivo","Mantenimiento anual AC ventana."
32,"2023-05-15","2025-05-15","servicio integral","Servicio integral caldera mixta."
33,"2024-01-20","2025-01-20","mantenimiento preventivo","Mantenimiento anual termostato digital."
34,"2023-07-01","2024-07-01","instalacion","Contrato de instalación de conductos."
35,"2021-05-22","2023-05-22","instalacion","Contrato de instalación de válvula de radiador."
36,"2024-03-15","2027-03-15","garantia extendida","Garantía extendida split inverter."
37,"2024-01-30","2025-01-30","mantenimiento preventivo","Revisión anual medidor energía trifásico."
38,"2021-09-01","2024-09-01","mantenimiento preventivo","Limpieza anual filtro magnético."
39,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía sistema montaje suelo solar 5 años."
40,"2022-02-01","2024-02-01","mantenimiento preventivo","Mantenimiento anual PTAC."
41,"2022-06-14","2025-06-14","servicio integral","Servicio integral bomba de calor (exterior)."
42,"2024-01-20","2025-01-20","mantenimiento preventivo","Calibración anual sensor presión."
43,"2023-07-01","2025-07-01","mantenimiento preventivo","Limpieza anual deshumidificador."
44,"2022-08-14","2024-08-14","mantenimiento preventivo","Mantenimiento bomba presurizadora."
45,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía inversor híbrido 5 años."
46,"2024-03-10","2026-03-10","garantia extendida","Garantía extendida split AC."
1,"2024-03-15","2026-03-15","mantenimiento preventivo","Contrato de mantenimiento preventivo bienal."
2,"2025-01-10","2028-01-10","servicio integral","Contrato integral para equipos HVAC."
3,"2024-07-01","2029-07-01","garantia extendida","Extensión de garantía por 5 años (nuevo equipo)."
4,"2021-05-20","2022-05-20","instalacion","Contrato relacionado con la instalación de un equipo de fontanería."
5,"2024-11-01","2026-11-01","mantenimiento preventivo","Mantenimiento programado para paneles solares."
6,"2024-08-18","2027-08-18","servicio integral","Servicio integral de climatización."
7,"2023-07-01","2026-07-01","garantia extendida","Garantía adicional por 3 años para sensor."
8,"2024-09-01","2025-09-01","mantenimiento preventivo","Mantenimiento anual para purificador y humidificador."
9,"2021-04-01","2024-04-01","mantenimiento correctivo","Servicio de reparación bajo demanda con tarifa preferencial."
10,"2023-09-10","2026-09-10","servicio integral","Contrato servicio completo para bomba de calor y sistema hidrónico."
11,"2024-12-01","2029-12-01","garantia extendida","Garantía extendida para batería solar por 5 años."
12,"2023-02-15","2026-02-15","mantenimiento preventivo","Revisión anual calentador de agua."
13,"2024-01-01","2027-01-01","mantenimiento preventivo","Mantenimiento anual de paneles solares y inversor."
14,"2023-07-01","2026-07-01","servicio integral","Servicio integral para sistema de control de aire."
15,"2022-09-20","2025-09-20","garantia extendida","Garantía extendida para unidades interiores multi-zona."
16,"2021-11-11","2024-11-11","mantenimiento preventivo","Mantenimiento programado para sistemas de calefacción."
17,"2024-08-01","2027-08-01","servicio integral","Servicio integral para sistema de ventilación."
18,"2024-04-01","2026-04-01","garantia extendida","Garantía extendida para medidor de energía."
19,"2023-10-25","2026-10-25","servicio integral","Servicio integral para sistema de agua caliente sanitaria."
20,"2024-07-10","2027-07-10","mantenimiento preventivo","Revisión anual AC portátil (si aplica)."
21,"2024-03-10","2027-03-10","garantia extendida","Extensión de garantía split AC (nuevo)."
22,"2023-04-11","2026-04-11","mantenimiento preventivo","Mantenimiento anual de caldera."
23,"2024-01-20","2027-01-20","servicio integral","Servicio integral para sistema de seguridad/control de acceso."
24,"2023-09-05","2026-09-05","mantenimiento preventivo","Mantenimiento anual sistema solar (paneles y batería)."
25,"2021-09-01","2024-09-01","servicio integral","Servicio integral para circuito de calefacción."
26,"2022-07-07","2025-07-07","mantenimiento preventivo","Mantenimiento anual sistema central por ductos."
27,"2024-01-20","2027-01-20","servicio integral","Servicio integral para detectores y sensores."
28,"2022-10-19","2025-10-19","mantenimiento preventivo","Mantenimiento anual termo bomba de calor."
29,"2023-02-28","2026-02-28","servicio integral","Servicio integral suelo radiante y fontanería asociada."
30,"2023-09-05","2026-09-05","mantenimiento preventivo","Mantenimiento anual kit montaje solar."
31,"2023-06-21","2026-06-21","servicio integral","Servicio integral equipos de climatización individuales."
32,"2023-05-15","2026-05-15","mantenimiento preventivo","Mantenimiento anual caldera mixta."
33,"2024-01-20","2027-01-20","servicio integral","Servicio integral para sistemas de control de temperatura."
34,"2023-07-01","2024-07-01","mantenimiento correctivo","Acuerdo para reparaciones puntuales en conductos."
35,"2021-05-22","2024-05-22","mantenimiento preventivo","Mantenimiento válvulas de radiador."
36,"2024-03-15","2029-03-15","servicio integral","Contrato de servicio integral para todos los splits inverter instalados."
37,"2024-01-30","2027-01-30","servicio integral","Servicio integral para medidores de energía."
38,"2021-09-01","2024-09-01","servicio integral","Servicio integral circuito calefacción (incluye filtro magnético)."
39,"2023-09-05","2026-09-05","mantenimiento preventivo","Mantenimiento anual sistema montaje suelo solar."
40,"2022-02-01","2025-02-01","servicio integral","Servicio integral unidades PTAC."
41,"2022-06-14","2025-06-14","mantenimiento preventivo","Mantenimiento anual bomba de calor (exterior e interior)."
42,"2024-01-20","2027-01-20","servicio integral","Servicio integral sensores de fluidos."
43,"2023-07-01","2026-07-01","servicio integral","Servicio integral equipos de calidad de aire."
44,"2022-08-14","2025-08-14","servicio integral","Servicio integral para sistemas de bombeo."
45,"2023-09-05","2026-09-05","mantenimiento preventivo","Mantenimiento anual sistema solar (inversor híbrido y batería)."
46,"2024-03-10","2027-03-10","servicio integral","Servicio integral para splits AC instalados."
1,"2025-03-15","2028-03-15","servicio integral","Servicio integral equipos HVAC y fontanería."
2,"2025-01-10","2030-01-10","garantia extendida","Extensión garantía 5 años unidad comercial."
3,"2024-07-01","2025-07-01","mantenimiento preventivo","Mantenimiento anual actuador."
4,"2021-05-20","2024-05-20","mantenimiento preventivo","Mantenimiento periódico válvulas."
5,"2024-11-01","2027-11-01","servicio integral","Servicio integral sistema solar."
6,"2024-08-18","2025-08-18","mantenimiento preventivo","Mantenimiento anual sistema split AC."
7,"2023-07-01","2024-07-01","instalacion","Contrato relacionado con la instalación de un nuevo sensor."
8,"2024-09-01","2027-09-01","servicio integral","Servicio integral para control de calidad del aire."
9,"2024-04-01","2027-04-01","mantenimiento preventivo","Mantenimiento anual caldera."
10,"2023-09-10","2028-09-10","garantia extendida","Garantía extendida bomba de calor 5 años."
11,"2025-12-01","2026-12-01","mantenimiento preventivo","Mantenimiento anual batería solar."
12,"2023-02-15","2027-02-15","servicio integral","Servicio integral sistemas de agua."
13,"2024-01-01","2028-01-01","servicio integral","Contrato servicio integral para instalación solar."
14,"2023-07-01","2024-07-01","mantenimiento preventivo","Revisión anual sensores."
15,"2022-09-20","2025-09-20","mantenimiento preventivo","Mantenimiento anual sistema multi-zona."
16,"2021-11-11","2025-11-11","servicio integral","Servicio integral sistema calefacción hidrónica."
17,"2024-08-01","2028-08-01","garantia extendida","Garantía extendida VRC 4 años."
18,"2024-04-01","2027-04-01","garantia extendida","Garantía extendida medidores energía 3 años."
19,"2023-10-25","2027-10-25","garantia extendida","Garantía extendida acumulador ACS 4 años."
20,"2024-07-10","2025-07-10","mantenimiento preventivo","Mantenimiento anual AC portátil."
21,"2024-03-10","2026-03-10","mantenimiento preventivo","Mantenimiento anual split AC."
22,"2023-04-11","2027-04-11","servicio integral","Servicio integral de calderas."
23,"2024-01-20","2028-01-20","servicio integral","Servicio integral de sensores de seguridad."
24,"2023-09-05","2027-09-05","servicio integral","Servicio integral sistema solar completo."