client_id,sku,install_date,status,config_json
1,"AC000015","2021-07-10","activo","{""ubicacion"": ""Salon"", ""firmware"": ""v1.5"", ""modo_predeterminado"": ""ahorro"", ""temperatura_max_ajustada"": 24.0}"
2,"AC000042","2022-01-20","activo","{""ubicacion"": ""Edificio Principal - Ala Sur"", ""notas_instalacion"": ""Requiere revision trimestral"", ""voltaje_conexion"": ""380V"", ""capacidad_nominal"": ""5 Ton""}"
3,"AC000088","2023-03-05","activo","{""zona_control"": ""Planta Baja - Pasillo"", ""tipo_actuador"": ""compuerta"", ""estado_fallo"": ""abierto""}"
4,"AC000112","2020-11-11","activo","{""sistema_asociado"": ""Calefaccion Circuito 1"", ""presion_ajuste_bar"": 3.0, ""fecha_ultima_prueba"": ""2023-10-15""}"
5,"AC000051","2023-08-20","activo","{""orientacion"": ""Sur"", ""inclinacion_grados"": 30, ""monitorizado_produccion"": true, ""garantia_años"": 15}"
6,"AC000003","2022-04-18","activo","{""ubicacion"": ""Dormitorio Principal"", ""modo_preferido"": ""auto"", ""ultimo_mantenimiento"": ""2024-03-10"", ""nivel_ruido_db"": 28}"
7,"AC000071","2023-01-25","activo","{""ubicacion"": ""Sala de Estar"", ""conectividad"": ""Wi-Fi 2.4GHz"", ""programa_activo"": ""Semanal Eco"", ""marca"": ""SmartHomeX""}"
8,"AC000133","2024-01-15","activo","{""area_cubierta_m2"": 30, ""tipo_filtros"": [""HEPA"", ""Carbón Activado""], ""indicador_cambio_filtro"": true}"
9,"AC000026","2021-09-01","activo","{""tipo_combustible"": ""Gas Natural"", ""ultimo_servicio"": ""2023-11-20"", ""presion_calefaccion_bar"": 1.8, ""eficiencia_pct"": 94.0}"
10,"AC000030","2022-06-14","activo","{""aplicacion"": ""Calefaccion y ACS"", ""SCOP_reportado"": 4.6, ""tipo_sistema"": ""Monobloc""}"
11,"AC000018","2023-05-30","activo","{""ubicacion"": ""Dormitorio 2"", ""parte_de_sistema"": ""AC000008"", ""configuracion_ventilador"": ""Bajo""}"
12,"AC000101","2024-02-10","activo","{""capacidad_l"": 50, ""potencia_kw"": 1.5, ""montaje"": ""Pared"", ""material_deposito"": ""Acero Vitrificado""}"
13,"AC000054","2023-09-05","activo","{""potencia_nominal_kw"": 5.0, ""conexion_red"": true, ""fecha_puesta_servicio"": ""2023-09-05"", ""tipo"": ""Inversor String""}"
14,"AC000078","2024-01-20","activo","{""ubicacion"": ""Bodega - Nivel -1"", ""serial_fabricante"": ""THS-ABC123"", ""desviacion_temp_c"": 0.2, ""desviacion_hum_pct"": -1.0}"
15,"AC000008","2022-03-17","activo","{""zonas_conectadas"": [""Salon"", ""Comedor"", ""Estudio""], ""refrigerante"": ""R410a"", ""num_unidades_interiores"": 3}"
16,"AC000033","2021-05-22","activo","{""ubicacion"": ""Pasillo Planta Alta"", ""tipo"": ""Panel"", ""dimensiones_mm"": ""600x1000"", ""material"": ""Acero""}"
17,"AC000121","2023-07-01","activo","{""flujo_aire_m3h"": 300, ""eficiencia_calor_pct"": 85.0, ""filtrado_etapa1"": ""G4"", ""filtrado_etapa2"": ""F7""}"
18,"AC000090","2024-01-30","activo","{""fase"": ""Monofasico"", ""ubicacion"": ""Cuadro Electrico Principal"", ""salida_pulsos_por_kwh"": 1000}"
19,"AC000044","2022-08-14","activo","{""capacidad_l"": 200, ""tipo"": ""Interacumulador Indirecto"", ""aislamiento"": true, ""anodo"": ""Magnesio""}"
20,"AC000063","2023-09-05","activo","{""tipo_conector"": ""MC4"", ""uso"": ""Conexiones de Paneles a String"", ""normativa"": ""EN50521""}"
21,"AC000001","2024-03-10","activo","{""ubicacion"": ""Despacho"", ""modo_actual"": ""frio"", ""temperatura_deseada_c"": 23.0, ""potencia_btu"": 9000}"
22,"AC000027","2023-04-11","activo","{""potencia_calefaccion_kw"": 30, ""eficiencia_acs_lpm"": 16, ""control_opents"": true}"
23,"AC000075","2024-01-20","activo","{""zona_cubierta"": ""Entrada Principal"", ""rango_deteccion_m"": 10, ""sensibilidad_ajustada"": ""Media""}"
24,"AC000057","2023-09-05","activo","{""capacidad_kwh"": 10, ""voltaje_nominal_v"": 48, ""tecnologia"": ""Litio-ion"", ""ciclos_vida_estimados"": 6000}"
25,"AC000105","2021-09-01","activo","{""aplicacion"": ""Circuito Calefaccion"", ""caudal_nominal_m3h"": 3.0, ""modo_control"": ""Automatico Diferencial""}"
26,"AC000010","2022-07-07","activo","{""tipo_sistema"": ""Central por Ductos"", ""capacidad_ton"": 3, ""ubicacion_unidad_exterior"": ""Tejado - Zona 1"", ""tipo_filtrado"": ""MERV 8""}"
27,"AC000098","2024-01-20","activo","{""ubicacion"": ""Hall Central"", ""montaje"": ""Techo"", ""tecnologia_deteccion"": [""PIR"", ""Ultrasónico""], ""area_cobertura_m2"": 50}"
28,"AC000046","2022-10-19","activo","{""capacidad_l"": 250, ""COP_medido"": 2.8, ""modo_operacion_actual"": ""Programado"", ""apoyo_electrico_habilitado"": true}"
29,"AC000035","2023-02-28","activo","{""aplicacion"": ""Suelo Radiante Planta Baja"", ""longitud_total_instalada_m"": 1000, ""material"": ""PEX-AL-PEX"", ""presion_max_bar"": 6}"
30,"AC000059","2023-09-05","activo","{""tipo_tejado"": ""Inclinado Teja"", ""num_paneles_montados"": 8, ""material_estructura"": ""Aluminio""}"
31,"AC000005","2023-06-21","activo","{""ubicacion"": ""Dormitorio"", ""eficiencia_energetica"": ""A"", ""control"": ""Mecanico"", ""facil_instalacion"": true}"
32,"AC000039","2023-05-15","activo","{""potencia_kw"": 35, ""eficiencia_erp"": ""A+"", ""caudal_acs_lpm"": 16, ""ultimo_servicio"": ""2024-05-01""}"
33,"AC000072","2024-01-20","activo","{""ubicacion"": ""Dormitorio Invitados"", ""tipo"": ""Digital No Programable"", ""control"": ""Manual""}"
34,"AC000125","2023-07-01","activo","{""aplicacion"": ""Conexion VRC a Rejillas"", ""diametro_mm"": 150, ""longitud_instalada_m"": 50, ""aislado"": true}"
35,"AC000148","2021-05-22","activo","{""aplicacion"": ""Radiador Salon"", ""tipo"": ""Termostatica"", ""estilo"": ""Recto"", ""tamano_conexion"": ""1/2 pulgada""}"
36,"AC000013","2024-03-15","activo","{""ubicacion"": ""Dormitorio Principal"", ""tecnologia"": ""Inverter"", ""SEER"": 22.0, ""garantia_compresor_años"": 10}"
37,"AC000091","2024-01-30","activo","{""fase"": ""Trifasico"", ""ubicacion"": ""Cuarto Electrico Comercial"", ""protocolo_comunicacion"": ""Modbus RTU"", ""clase_precision"": 1}"
38,"AC000119","2021-09-01","activo","{""funcion"": ""Filtracion Magnética"", ""tamano_tubería_mm"": 22, ""material_cuerpo"": ""Latón""}"
39,"AC000066","2023-09-05","activo","{""tipo_montaje"": ""Suelo"", ""capacidad_paneles"": 10, ""ubicacion"": ""Jardín Trasero""}"
40,"AC000020","2022-02-01","activo","{""aplicacion"": ""Hotel - Habitacion 101"", ""btu"": 15000, ""voltaje_v"": 230, ""control_local"": true}"
41,"AC000031","2022-06-14","en_mantenimiento","{""tipo"": ""Aerotermia Split"", ""potencia_kw"": 10, ""estado"": ""Requiere revisión compresor"", ""fecha_diagnostico"": ""2024-05-01""}"
42,"AC000080","2024-01-20","activo","{""parametro"": ""Presión"", ""rango_bar"": ""0-10"", ""salida"": ""4-20mA"", ""fecha_calibracion"": ""2024-01-10""}"
43,"AC000134","2023-07-01","activo","{""tipo"": ""Deshumidificador"", ""capacidad_ldiario"": 20, ""tamano_deposito_l"": 4, ""area_cubierta_m2"": 40}"
44,"AC000108","2022-08-14","activo","{""aplicacion"": ""Aumento Presión Vivienda"", ""incremento_bar"": 2.0, ""caudal_max_m3h"": 2}"
45,"AC000056","2023-09-05","activo","{""tipo"": ""Inversor Híbrido"", ""potencia_kw"": 6, ""capacidad_bateria_compatible_kwh"": 10, ""modo_operacion_predeterminado"": ""Autoconsumo""}"
46,"AC000002","2024-03-10","activo","{""ubicacion"": ""Comedor"", ""btu"": 12000, ""SEER"": 20.0, ""control_remoto"": true}"
1,"AC000028","2021-10-01","activo","{""tipo_combustible"": ""Gasóleo"", ""potencia_kw"": 20, ""ultimo_servicio"": ""2024-01-10""}"
2,"AC000073","2024-01-20","activo","{""ubicacion"": ""Pasillo Sotano"", ""gas_detectado"": ""CO"", ""alimentacion"": ""Cableado"", ""nivel_alarma_ppm"": 50}"
3,"AC000141","2023-02-28","activo","{""material"": ""Cobre"", ""diametro_mm"": 15, ""longitud_instalada_m"": 25, ""uso"": ""Fontanería Agua Fria""}"
4,"AC000103","2023-05-15","activo","{""tipo"": ""Calentador Gas Instantáneo"", ""caudal_lpm"": 12, ""tipo_encendido"": ""Electrónico""}"
5,"AC000060","2023-09-05","activo","{""tipo_tejado"": ""Plano"", ""num_paneles_montados"": 4, ""tipo_lastre"": ""Hormigón""}"
6,"AC000016","2024-03-15","activo","{""ubicacion"": ""Salón Grande"", ""btu"": 24000, ""modo_adicional"": ""Modo Noche"", ""tecnologia"": ""Inverter""}"
7,"AC000092","2024-01-30","activo","{""parametro_registro"": ""Temperatura"", ""memoria_gb"": 16, ""conexion_descarga"": ""USB"", ""intervalo_registro_min"": 5}"
8,"AC000047","2021-05-22","activo","{""aplicacion"": ""Calefacción Zócalo"", ""longitud_instalada_m"": 15, ""potencia_w_por_m"": 300, ""color"": ""Blanco""}"
9,"AC000122","2023-07-01","activo","{""tipo"": ""VREC"", ""flujo_aire_m3h"": 250, ""eficiencia_humedad_pct"": 70.0, ""recuperacion_energetica"": ""Entálpica""}"
10,"AC000114","2022-08-14","activo","{""tipo"": ""Válvula Bola"", ""funcion"": ""Corte"", ""tamano_conexion"": ""1/2 pulgada"", ""material"": ""Latón""}"
11,"AC000053","2023-08-20","activo","{""tipo"": ""Panel Flexible"", ""potencia_w"": 100, ""peso_kg"": 2.0, ""aplicacion"": ""Vehículo Recreacional""}"
12,"AC000004","2022-04-18","activo","{""ubicacion"": ""Zona Común Edificio"", ""btu"": 24000, ""SEER"": 16.5, ""compatibilidad_zonificacion"": true}"
13,"AC000076","2024-01-20","activo","{""ubicacion"": ""Puerta Trasera"", ""tipo"": ""Contacto Magnético"", ""conexion"": ""Inalámbrico"", ""estado_bateria"": ""OK""}"
14,"AC000137","2023-07-01","activo","{""metodo"": ""UV-C"", ""montaje"": ""Conducto"", ""vida_util_lampara_h"": 9000, ""indicador_estado_lampara"": true}"
15,"AC000102","2024-02-10","activo","{""capacidad_l"": 100, ""potencia_kw"": 2.0, ""montaje"": ""Suelo"", ""termostato_seguridad"": true}"
16,"AC000055","2023-09-05","activo","{""fase"": ""Trifasico"", ""potencia_kw"": 10, ""monitorizacion_remota"": true, ""curva_MPPT"": ""Múltiple""}"
17,"AC000089","2024-01-20","activo","{""aplicacion"": ""Control Fan Coil"", ""ubicacion"": ""Habitación 3"", ""control_ventilador"": ""3 Velocidades"", ""protocolo"": ""Modbus""}"
18,"AC000040","2021-05-22","activo","{""material"": ""Aluminio"", ""dimensiones_mm"": ""500x800"", ""potencia_calor_w"": 1000, ""respuesta_termica"": ""Rápida""}"
19,"AC000116","2022-08-14","activo","{""tipo"": ""Válvula Antirretorno"", ""funcion"": ""Flujo Único"", ""tamano_conexion"": ""3/4 pulgada"", ""material_interno"": ""Acero Inoxidable""}"
20,"AC000067","2023-09-05","activo","{""tipo"": ""Seccionador DC"", ""corriente_a"": 32, ""polos"": 4, ""ubicacion"": ""Caja Combinador Solar""}"
21,"AC000006","2023-06-21","retirado","{""ubicacion"": ""Dormitorio Pequeño"", ""btu"": 8000, ""estado"": ""Retirado del servicio"", ""fecha_retiro"": ""2024-07-01"", ""motivo_retiro"": ""Sustitución por Split""}"
22,"AC000037","2023-04-11","activo","{""tipo_combustible"": ""Pellets"", ""potencia_kw"": 25, ""capacidad_tolva_kg"": 150, ""limpieza_quemador"": ""Automática""}"
23,"AC000077","2024-01-20","activo","{""ubicacion"": ""Bajo Fregadero Cocina"", ""metodo_deteccion"": ""Conductividad"", ""tipo_alarma"": [""Acústica"", ""Inalámbrica""], ""conectividad"": ""Wi-Fi""}"
24,"AC000129","2023-07-01","activo","{""tipo"": ""Compuerta Antirretorno"", ""tamano_conducto_mm"": 200, ""aplicacion"": ""Conducto Extracción""}"
25,"AC000109","2021-09-01","activo","{""tipo"": ""Vaso de Expansión"", ""volumen_l"": 18, ""aplicacion"": ""Calefacción"", ""presion_precarga_bar"": 1.5}"
26,"AC000052","2023-08-20","activo","{""tipo"": ""Policristalino"", ""potencia_w"": 350, ""dimensiones_mm"": ""1956x992x40""}"
27,"AC000009","2022-03-17","activo","{""tipo_sistema"": ""Multi-Zona Sin Ductos"", ""btu_exterior"": 27000, ""num_zonas"": 3, ""ubicaciones_interiores"": [""Dormitorio 1"", ""Dormitorio 2"", ""Estudio""]}"
28,"AC000093","2024-01-20","activo","{""parametro"": ""Presión Diferencial"", ""rango_pa"": ""0-1000"", ""salida"": ""0-10V"", ""conexion_tubos"": true}"
29,"AC000045","2023-05-15","activo","{""tipo"": ""Calentador Eléctrico Instantáneo"", ""potencia_kw"": 9, ""caudal_lpm"": 5, ""protecciones"": [""Sobrecalentamiento"", ""Presión""]}"
30,"AC000138","2023-07-01","activo","{""aplicacion"": ""Campana Cocina"", ""tipo"": ""Extractor"", ""flujo_aire_m3h"": 600, ""nivel_ruido_db"": 65}"
31,"AC000061","2023-09-05","activo","{""tipo"": ""Cable Solar"", ""tamano_mm2"": 4, ""color"": ""Rojo"", ""longitud_m"": 100, ""resistente_uv"": true}"
32,"AC000014","2024-03-15","activo","{""ubicacion"": ""Salón Secundario"", ""tecnologia"": ""Inverter"", ""btu"": 12000, ""control_precision_temp_c"": 0.5}"
33,"AC000110","2022-08-14","activo","{""tipo"": ""Vaso de Expansión"", ""volumen_l"": 24, ""aplicacion"": ""Agua Potable"", ""certificado"": ""WRAS""}"
34,"AC000084","2024-01-20","activo","{""sistema"": ""KNX"", ""tipo"": ""Fuente Alimentacion"", ""corriente_ma"": 640, ""ubicacion"": ""Cuadro Distribucion KNX""}"
35,"AC000034","2021-05-22","activo","{""aplicacion"": ""Baño Principal"", ""material"": ""Acero Cromado"", ""dimensiones_mm"": ""500x1200"", ""uso"": ""Toallero Térmico""}"
36,"AC000123","2023-07-01","activo","{""tipo"": ""Ventilador Axial"", ""diametro_mm"": 200, ""flujo_aire_m3h"": 500, ""montaje"": ""Conducto""}"
37,"AC000058","2023-09-05","activo","{""tipo"": ""Regulador de Carga"", ""tecnologia"": ""MPPT"", ""corriente_a"": 60, ""voltajes_soportados_v"": [12, 24, 48]}"
38,"AC000099","2024-01-20","activo","{""tipo"": ""Actuador Válvula"", ""tipo_valvula_control"": ""2/3 Vías"", ""tamano_conexion"": ""DN15"", ""control"": ""On/Off""}"
39,"AC000048","2022-10-19","activo","{""tipo"": ""Acumulador Hidrónico"", ""capacidad_l"": 500, ""aplicacion"": ""Sistema Solar Térmico""}"
40,"AC000145","2023-02-28","activo","{""tipo"": ""Aislamiento Tubería"", ""material"": ""Espuma"", ""diametro_tuberia_mm"": 22, ""longitud_instalada_m"": 30}"
41,"AC000019","2023-05-30","activo","{""ubicacion"": ""Estudio"", ""parte_de_sistema"": ""AC000008"", ""tipo"": ""Unidad Interior Mini-Split"", ""capacidad_btu"": 18000}"
42,"AC000074","2024-01-20","activo","{""tipo"": ""Detector de Humo"", ""conexion"": ""Inalámbrico"", ""alimentacion"": ""Batería"", ""ubicacion"": ""Hall Planta Alta""}"
43,"AC000130","2023-07-01","activo","{""tipo"": ""Rejilla de Aire"", ""aplicacion"": ""Impulsión"", ""tamano_mm"": ""300x300"", ""material"": ""Aluminio""}"
44,"AC000113","2022-08-14","activo","{""tipo"": ""Válvula Mezcladora Termostática"", ""vias"": 3, ""tamano_conexion"": ""3/4 pulgada"", ""temperatura_salida_ajustada_c"": 50.0}"
45,"AC000064","2023-09-05","activo","{""marca"": ""Solar Edge"", ""tipo"": ""Optimizador"", ""serie_compatible"": ""P405"", ""instalado_en_panel"": ""AC000051-ID5""}"
46,"AC000007","2023-06-21","activo","{""ubicacion"": ""Oficina"", ""tipo"": ""Portátil"", ""btu"": 10000, ""caracteristicas"": [""Ruedas"", ""Mando Distancia"", ""Kit Ventana""]}"
1,"AC000029","2021-10-01","activo","{""tipo"": ""Caldera Eléctrica"", ""potencia_kw"": 12, ""alimentacion"": ""400V Trifásico"", ""eficiencia_pct"": 99.0}"
2,"AC000079","2024-01-20","activo","{""tipo"": ""Sensor de Caudal"", ""medio"": ""Agua"", ""tamano_conexion"": ""1/2 pulgada"", ""salida"": ""Pulsos""}"
3,"AC000142","2023-02-28","activo","{""material"": ""PEX"", ""diametro_mm"": 20, ""longitud_instalada_m"": 150, ""aplicacion"": ""Fontanería Agua Fria/Caliente""}"
4,"AC000104","2023-05-15","activo","{""tipo"": ""Calentador Gas Instantáneo"", ""caudal_lpm"": 18, ""tipo_tiro"": ""Forzado"", ""display_temperatura"": true}"
5,"AC000068","2023-09-05","activo","{""tipo"": ""Interruptor Seccionador CA"", ""corriente_a"": 40, ""polos"": 2, ""ubicacion"": ""Junto a Inversor""}"
6,"AC000017","2024-03-15","activo","{""ubicacion"": ""Estudio"", ""parte_de_sistema"": ""AC000008"", ""tipo"": ""Unidad Interior Mini-Split"", ""capacidad_btu"": 9000}"
7,"AC000094","2024-01-30","activo","{""tipo"": ""Interruptor de Caudal"", ""medio"": ""Aire"", ""aplicacion"": ""Conducto Ventilacion"", ""salida"": ""Contacto Seco""}"
8,"AC000049","2021-05-22","activo","{""tipo"": ""Bomba de Calor"", ""aplicacion"": ""Sistemas Baja Temperatura (Suelo Radiante)"", ""potencia_kw"": 8, ""SCOP"": 5.0}"
9,"AC000124","2023-07-01","activo","{""tipo"": ""Ventilador Centrífugo"", ""diseno"": ""En Línea"", ""tamano_conducto_mm"": 150, ""flujo_aire_m3h"": 400}"
10,"AC000115","2022-08-14","activo","{""tipo"": ""Válvula de Compuerta"", ""funcion"": ""Aislamiento"", ""tamano_conexion"": ""1 pulgada"", ""material"": ""Latón"", ""paso"": ""Total""}"
11,"AC000050","2023-08-20","activo","{""tipo"": ""Colector Solar Térmico"", ""diseno"": ""Placa Plana"", ""area_m2"": 2.5, ""aplicacion"": ""ACS"", ""numero_instalado"": 2}"
12,"AC000008","2022-03-17","activo","{""tipo_sistema"": ""Multi-Zona Sin Ductos"", ""ubicacion"": ""Exterior - Fachada Trasera"", ""SEER"": 19.0}"
13,"AC000081","2024-01-20","activo","{""tipo"": ""Sensor de Nivel"", ""metodo"": ""Ultrasónico"", ""aplicacion"": ""Depósito Agua Pluvial"", ""rango_max_m"": 5}"
14,"AC000139","2023-07-01","activo","{""tipo"": ""Extractor de Baño"", ""tamano_conducto_mm"": 100, ""flujo_aire_m3h"": 100, ""nivel_ruido_db"": 40}"
15,"AC000105","2021-09-01","activo","{""tipo"": ""Bomba Circuladora"", ""aplicacion"": ""Sistema Calefacción"", ""caudal_max_m3h"": 3.0, ""altura_manometrica_max_m"": 6}"
16,"AC000054","2023-09-05","activo","{""ubicacion"": ""Cuarto de Servicios - Pared"", ""garantia_años"": 10, ""certificacion"": ""CE""}"
17,"AC000095","2024-01-20","activo","{""tipo"": ""Termostato"", ""aplicacion"": ""Protección Antihielo Tuberías"", ""punto_ajuste_c"": 5.0, ""reiniciο"": ""Automático""}"
