technician_id,client_id,equipment_id,date,type,result,document_url
1,1,1,"2021-07-10","instalacion","Instalación inicial del equipo AC000015 (Split AC 9000 BTU). Puesta en marcha y pruebas OK.",null
2,2,2,"2022-01-20","instalacion","Instalación de unidad comercial AC000042 (Rooftop AC 5 Ton). Conexiones eléctricas y frigoríficas verificadas.",null
3,3,3,"2023-03-05","instalacion","Montaje y conexionado de actuador AC000088 (Actuador (Damper)). Integración con sistema BMS.",null
4,4,4,"2020-11-11","instalacion","Instalación de válvula de seguridad AC000112 (Safety Relief Valve 3 bar) en circuito primario de calefacción.",null
5,5,5,"2023-08-20","instalacion","Instalación de panel solar AC000051 (Monocrystalline Solar Panel 400W). Orientación e inclinación correctas.",null
6,6,6,"2022-04-18","instalacion","Instalación de split AC000003 (Split System AC 18000 BTU) en dormitorio principal. Prueba de frío/calor OK.",null
7,7,7,"2023-01-25","instalacion","Instalación y configuración inicial de termostato inteligente AC000071 (Smart Thermostat). Conectado a red Wi-Fi.",null
8,8,8,"2024-01-15","instalacion","Instalación de purificador de aire AC000133 (Air Purifier) en zona de estar. Prueba de funcionamiento OK.",null
9,9,9,"2021-09-01","instalacion","Instalación de caldera AC000026 (High-Efficiency Gas Boiler 24kW). Puesta en marcha, purga y pruebas de estanqueidad de gas y agua.",null
10,10,10,"2022-06-14","instalacion","Instalación de bomba de calor AC000030 (Air Source Heat Pump 7kW Monobloc). Conexión a sistema hidrónico.",null
1,11,11,"2023-05-30","instalacion","Instalación de unidad interior mini-split AC000018 (Mini-Split Indoor Unit 12000 BTU) en Dormitorio 2. Conectada a unidad exterior AC000008.",null
2,12,12,"2024-02-10","instalacion","Instalación de termo eléctrico AC000101 (Electric Water Heater 50L). Conexiones agua y eléctrica realizadas.",null
3,13,13,"2023-09-05","instalacion","Instalación de inversor solar AC000054 (Solar Inverter 5kW Monofásico). Conexión a paneles y a red eléctrica. Puesta en marcha.",null
4,14,14,"2024-01-20","instalacion","Instalación de sensor de temperatura y humedad AC000078 (Temperature & Humidity Sensor) en bodega. Calibración inicial.",null
5,15,15,"2022-03-17","instalacion","Instalación de unidad exterior multi-zona AC000008 (Multi-Zone Ductless AC 27000 BTU). Conexión a 3 unidades interiores.",null
6,16,16,"2021-05-22","instalacion","Instalación de radiador AC000033 (Steel Panel Radiator 600x1000mm) en pasillo. Purga de aire realizada.",null
7,17,17,"2023-07-01","instalacion","Instalación de ventilador con recuperador de calor AC000121 (HRV 300m³/h). Conexión a red de conductos.",null
8,18,18,"2024-01-30","instalacion","Instalación de medidor de energía monofásico AC000090 (Energy Meter Single Phase). Conexión a cuadro eléctrico y Modbus.",null
9,19,19,"2022-08-14","instalacion","Instalación de acumulador de ACS AC000044 (DHW Storage Tank 200L). Conexión a caldera (no incluida en esta visita).",null
10,20,20,"2023-09-05","instalacion","Instalación de conectores MC4 AC000063 (MC4 Connector Pair) en cableado solar. Se utilizaron 10 pares.",null
1,21,21,"2024-03-10","instalacion","Instalación de split AC000001 (Split System AC 9000 BTU) en despacho. Carga de refrigerante correcta.",null
2,22,22,"2023-04-11","instalacion","Instalación de caldera AC000027 (High-Efficiency Gas Boiler 30kW). Configuración inicial y pruebas de seguridad.",null
3,23,23,"2024-01-20","instalacion","Instalación de sensor de movimiento AC000075 (Motion Sensor PIR) en entrada. Prueba de detección OK.",null
4,24,24,"2023-09-05","instalacion","Instalación de batería solar AC000057 (Solar Battery 10kWh). Conexión a inversor (AC000056).",null
5,25,25,"2021-09-01","instalacion","Instalación de bomba circuladora AC000105 (Circulator Pump) en circuito de calefacción principal. Puesta en marcha.",null
6,26,26,"2022-07-07","instalacion","Instalación de sistema central por ductos AC000010 (Central Ducted AC 3 Ton). Montaje unidad exterior y conexión a red de conductos interior.",null
7,27,27,"2024-01-20","instalacion","Instalación de detector de presencia AC000098 (Presence Detector) en hall. Configuración de temporizador.",null
8,28,28,"2022-10-19","instalacion","Instalación de termo bomba de calor ACS AC000046 (DHW Heat Pump Water Heater 250L). Conexión hidráulica y eléctrica.",null
9,29,29,"2023-02-28","instalacion","Instalación de tubería PEX AC000035 (Underfloor Heating Pipe 16mm) para suelo radiante. Distribución según plano.",null
10,30,30,"2023-09-05","instalacion","Instalación de kit de montaje solar AC000059 (Solar Mounting Kit Pitched Roof) para 8 paneles. Fijación a estructura de tejado.",null
1,31,31,"2023-06-21","instalacion","Instalación de AC de ventana AC000005 (Window AC Unit 5000 BTU). Sellado perimetral correcto.",null
2,32,32,"2023-05-15","instalacion","Instalación de caldera mixta AC000039 (Condensing Combi Boiler 35kW). Conexiones gas, agua y desagüe. Puesta en marcha.",null
3,33,33,"2024-01-20","instalacion","Instalación de termostato digital AC000072 (Digital Thermostat). Cableado a caldera.",null
4,34,34,"2023-07-01","instalacion","Instalación de conductos flexibles AC000125 (Ducting Flexible Insulated 150mm). Conexión a rejillas y unidad VRC.",null
5,35,35,"2021-05-22","instalacion","Instalación de válvula de radiador AC000148 (Radiator Valve Thermostatic Straight). Prueba de cierre OK.",null
6,36,36,"2024-03-15","instalacion","Instalación de split inverter AC000013 (Inverter Split AC 9000 BTU). Carga de gas y pruebas de funcionamiento.",null
7,37,37,"2024-01-30","instalacion","Instalación de medidor de energía trifásico AC000091 (Energy Meter Three Phase). Conexión a suministro general y sistema de monitorización.",null
8,38,38,"2021-09-01","instalacion","Instalación de filtro magnético AC000119 (Magnetic Filter 22mm) en circuito de calefacción.",null
9,39,39,"2023-09-05","instalacion","Instalación de sistema de montaje en suelo solar AC000066 (Ground Mount System 10 Panels). Cimentación y estructura completadas.",null
10,40,40,"2022-02-01","instalacion","Instalación de PTAC AC000020 (Packaged Terminal AC 15000 BTU) en muro exterior. Sellado perimetral.",null
1,41,41,"2022-06-14","instalacion","Instalación de bomba de calor AC000031 (Air Source Heat Pump 10kW Split - Unidad Exterior). Conexión a unidades interiores.",null
2,42,42,"2024-01-20","instalacion","Instalación de sensor de presión AC000080 (Pressure Sensor 0-10 bar) en línea de impulsión de bomba.",null
3,43,43,"2023-07-01","instalacion","Instalación de deshumidificador AC000134 (Dehumidifier 20L/day). Ubicación y conexión eléctrica.",null
4,44,44,"2022-08-14","instalacion","Instalación de bomba presurizadora AC000108 (Booster Pump Pressure). Conexión en serie a red de agua.",null
5,45,45,"2023-09-05","instalacion","Instalación de inversor híbrido AC000056 (Hybrid Solar Inverter 6kW). Conexión a red, paneles y batería.",null
6,46,46,"2024-03-10","instalacion","Instalación de split AC000002 (Split System AC 12000 BTU) en comedor. Prueba de climatización OK.",null
7,1,28,"2021-10-01","instalacion","Instalación de caldera gasóleo AC000028 (Oil Boiler 20kW). Conexiones y prueba de combustión.",null
8,2,73,"2024-01-20","instalacion","Instalación de detector de CO AC000073 (CO Detector Wired) en sótano. Cableado y prueba de alarma.",null
9,3,141,"2023-02-28","instalacion","Instalación de tramos de tubería de cobre AC000141 (Copper Pipe 15mm). Soldaduras realizadas.",null
10,4,103,"2023-05-15","instalacion","Instalación de calentador de agua a gas instantáneo AC000103 (Gas Water Heater Tankless 12L/min). Conexiones gas y agua.",null
1,5,60,"2023-09-05","instalacion","Instalación de kit de montaje solar AC000060 (Solar Mounting Kit Flat Roof) para 4 paneles. Uso de lastre de hormigón.",null
2,6,16,"2024-03-15","instalacion","Instalación de split inverter AC000016 (Inverter Split AC 24000 BTU) en salón grande. Doble flujo de aire configurado.",null
3,7,92,"2024-01-30","instalacion","Instalación de registrador de datos AC000092 (Data Logger Temperature) en armario de servidores. Configuración de intervalo.",null
4,8,47,"2021-05-22","instalacion","Instalación de radiador zócalo AC000047 (Skirting Board Radiator 1m). Conexión a circuito de calefacción.",null
5,9,122,"2023-07-01","instalacion","Instalación de ventilador con recuperador de energía AC000122 (ERV 250m³/h). Conexión a red de conductos.",null
6,10,114,"2022-08-14","instalacion","Instalación de válvula bola AC000114 (Ball Valve 1/2 inch) en derivación de agua fría.",null
7,11,53,"2023-08-20","instalacion","Instalación de panel solar flexible AC000053 (Flexible Solar Panel 100W) en tejado de caravana. Fijación adhesiva.",null
8,12,4,"2022-04-18","instalacion","Instalación de split AC000004 (Split System AC 24000 BTU) en zona común. Prueba de frío/calor OK.",null
9,13,76,"2024-01-20","instalacion","Instalación de sensor puerta/ventana AC000076 (Door/Window Sensor Wireless) en puerta trasera. Emparejado con hub.",null
10,14,137,"2023-07-01","instalacion","Instalación de esterilizador aire UV-C AC000137 (UV-C Air Sterilizer Duct Mount) en conducto de impulsión.",null
1,15,102,"2024-02-10","instalacion","Instalación de termo eléctrico AC000102 (Electric Water Heater 100L). Ubicación y conexiones.",null
2,16,55,"2023-09-05","instalacion","Instalación de inversor solar AC000055 (Solar Inverter 10kW Three Phase) para sistema comercial. Conexión a red trifásica.",null
3,17,89,"2024-01-20","instalacion","Instalación de controlador de habitación AC000089 (Room Controller Fan Coil) en Habitación 3.",null
4,18,40,"2021-05-22","instalacion","Instalación de radiador de aluminio AC000040 (Aluminum Radiator 500x800mm) en baño. Purgado.",null
5,19,116,"2022-08-14","instalacion","Instalación de válvula antirretorno AC000116 (Non-Return Valve 3/4 inch) a la salida de la bomba de ACS.",null
6,20,67,"2023-09-05","instalacion","Instalación de interruptor seccionador CC AC000067 (Solar DC Isolator Switch 32A) en caja combinador DC.",null
7,21,6,"2023-06-21","instalacion","Instalación de AC de ventana AC000006 (Window AC Unit 8000 BTU) en dormitorio pequeño. Sellado.",null
8,22,37,"2023-04-11","instalacion","Instalación de caldera de pellets AC000037 (Pellet Boiler 25kW). Montaje de tolva y conexión a chimenea.",null
9,23,77,"2024-01-20","instalacion","Instalación de sensor de fugas de agua AC000077 (Water Leak Sensor) bajo fregadero. Prueba de alarma.",null
10,24,129,"2023-07-01","instalacion","Instalación de compuerta antirretorno AC000129 (Backdraft Damper 200mm) en conducto de extracción.",null
1,25,109,"2021-09-01","instalacion","Instalación de vaso de expansión AC000109 (Expansion Tank 18L Heating) en circuito de calefacción.",null
2,26,52,"2023-08-20","instalacion","Instalación de panel solar AC000052 (Polycrystalline Solar Panel 350W). 4 unidades instaladas en tejado.",null
3,27,9,"2022-03-17","instalacion","Instalación de multi-zona sin ductos AC000009 (Multi-Zone Ductless AC 27000 BTU). Unidad exterior.",null
4,28,93,"2024-01-20","instalacion","Instalación de sensor de presión diferencial AC000093 (Differential Pressure Sensor) en unidad de tratamiento de aire (UTA).",null
5,29,45,"2023-05-15","instalacion","Instalación de calentador de agua eléctrico instantáneo AC000045 (Instant Electric Water Heater 9kW). Conexión a red eléctrica.",null
6,30,138,"2023-07-01","instalacion","Instalación de ventilador para campana de cocina AC000138 (Kitchen Hood Fan). Conexión a red de extracción.",null
7,31,61,"2023-09-05","instalacion","Instalación de cable solar AC000061 (Solar Cable 4mm² Red). Tendido y fijación.",null
8,32,14,"2024-03-15","instalacion","Instalación de split inverter AC000014 (Inverter Split AC 12000 BTU) en salón secundario. Prueba de climatización.",null
9,33,110,"2022-08-14","instalacion","Instalación de vaso de expansión AC000110 (Expansion Tank 24L Potable Water) en red de agua potable.",null
10,34,84,"2024-01-20","instalacion","Instalación de fuente de alimentación KNX AC000084 (KNX Power Supply 640mA). Conexión a bus KNX.",null
1,35,34,"2021-05-22","instalacion","Instalación de radiador toallero cromado AC000034 (Chrome Towel Radiator 500x1200mm) en baño. Purgado.",null
2,36,123,"2023-07-01","instalacion","Instalación de ventilador axial AC000123 (Axial Fan 200mm) en muro. Conexión eléctrica.",null
3,37,58,"2023-09-05","instalacion","Instalación de regulador de carga solar AC000058 (Solar Charge Controller 60A MPPT). Conexión a paneles y batería.",null
4,38,99,"2024-01-25","instalacion","Instalación de actuador de válvula AC000099 (Valve Actuator On/Off DN15). Conexión a válvula de zona.",null
5,39,48,"2022-10-22","instalacion","Instalación de acumulador hidrónico AC000048 (Buffer Tank 500L) para sistema de calefacción. Aislamiento comprobado.",null
6,40,145,"2023-02-28","instalacion","Instalación de aislamiento de tubería AC000145 (Pipe Insulation Foam 22mm). Tramo de 30m aislado.",null
7,41,19,"2023-05-30","instalacion","Instalación de unidad interior mini-split AC000019 (Mini-Split Indoor Unit 18000 BTU) en estudio. Conectada a unidad exterior AC000008.",null
8,42,74,"2024-01-20","instalacion","Instalación de detector de humo AC000074 (Smoke Detector Wireless) en hall. Emparejado con hub de alarma.",null
9,43,130,"2023-07-01","instalacion","Instalación de rejilla de aire AC000130 (Air Grille Supply 300x300) en falso techo.",null
10,44,113,"2022-08-14","instalacion","Instalación de válvula mezcladora termostática AC000113 (Mixing Valve Thermostatic 3-Way). Ajuste de temperatura de salida.",null
1,45,64,"2023-09-05","instalacion","Instalación de optimizador Solar Edge AC000064 (Solar Edge Optimizer P405) en panel solar AC000051 (ID 5).",null
2,46,7,"2023-06-21","instalacion","Entrega y puesta en marcha de AC portátil AC000007 (Portable AC Unit 10000 BTU). Explicación de uso al cliente.",null
3,1,29,"2021-10-01","instalacion","Instalación de caldera eléctrica AC000029 (Electric Boiler 12kW). Conexión trifásica.",null
4,2,79,"2024-01-20","instalacion","Instalación de sensor de caudal AC000079 (Flow Sensor Water 1/2 inch) en línea de agua fría.",null
5,3,142,"2023-02-28","instalacion","Instalación de tubería PEX AC000142 (PEX Pipe 20mm) para red de fontanería. Trazado y fijaciones.",null
6,4,104,"2023-05-15","instalacion","Instalación de calentador de agua a gas instantáneo AC000104 (Gas Water Heater Tankless 18L/min). Conexiones.",null
7,5,68,"2023-09-05","instalacion","Instalación de interruptor seccionador CA AC000068 (Solar AC Isolator Switch 40A) en circuito de salida de inversor.",null
8,6,17,"2024-03-15","instalacion","Instalación de unidad interior mini-split AC000017 (Mini-Split Indoor Unit 9000 BTU) en estudio. Conectada a multi-zona.",null
9,7,94,"2024-01-30","instalacion","Instalación de interruptor de caudal AC000094 (Flow Switch Air) en conducto de ventilación. Prueba de conmutación.",null
10,8,49,"2021-05-22","instalacion","Instalación de bomba de calor baja temperatura AC000049 (Low Temperature Heat Pump 8kW). Conexión a sistema suelo radiante.",null
1,9,124,"2023-07-01","instalacion","Instalación de ventilador centrífugo en línea AC000124 (Centrifugal Fan Inline 150mm) en conducto.",null
2,10,115,"2022-08-14","instalacion","Instalación de válvula de compuerta AC000115 (Gate Valve 1 inch) en bypass de sistema hidrónico.",null
3,11,50,"2023-08-20","instalacion","Instalación de colector solar térmico AC000050 (Solar Thermal Collector Flat Plate). Dos unidades instaladas.",null
4,12,8,"2022-03-17","instalacion","Instalación de unidad exterior multi-zona AC000008 (Multi-Zone Ductless AC 18000 BTU). Conexión a 2 unidades interiores.",null
5,13,81,"2024-01-20","instalacion","Instalación de sensor de nivel AC000081 (Level Sensor Ultrasonic) en depósito de agua de lluvia.",null
6,14,139,"2023-07-01","instalacion","Instalación de extractor de baño AC000139 (Bathroom Exhaust Fan 100mm). Conexión a conducto de extracción.",null
7,15,105,"2021-09-01","mantenimiento","Mantenimiento preventivo anual bomba circuladora AC000105. Limpieza y lubricación.",null
8,16,16,"2023-03-10","mantenimiento","Mantenimiento preventivo split inverter AC000016. Limpieza de filtros y serpentines.",null
9,17,17,"2024-01-20","mantenimiento","Revisión de filtros en VRC AC000121. Limpieza/sustitución si es necesario.",null
10,18,18,"2024-02-15","mantenimiento","Lectura de datos del medidor de energía AC000090.",null
1,19,19,"2024-03-01","mantenimiento","Inspección visual de acumulador de ACS AC000044.",null
2,20,20,"2024-04-10","mantenimiento","Limpieza de filtros de PTAC AC000020.",null
3,21,21,"2024-05-20","mantenimiento","Mantenimiento preventivo split AC000001. Limpieza.",null
4,22,22,"2024-06-01","mantenimiento","Servicio técnico anual de caldera AC000027.",null
5,23,23,"2024-07-15","mantenimiento","Prueba de funcionamiento de sensor de movimiento AC000075.",null
6,24,24,"2024-08-01","mantenimiento","Monitorización del estado de la batería solar AC000057.",null
7,25,25,"2024-09-10","mantenimiento","Revisión periódica de bomba circuladora AC000105.",null
8,26,26,"2024-10-20","mantenimiento","Mantenimiento de unidad exterior AC central AC000010.",null
9,27,27,"2024-11-01","mantenimiento","Prueba de detección de detector de presencia AC000098.",null
10,28,28,"2024-12-15","mantenimiento","Inspección general de termo bomba de calor ACS AC000046.",null
1,29,29,"2025-01-20","mantenimiento","Inspección visual de tubería PEX AC000035.",null
2,30,30,"2025-02-01","mantenimiento","Revisión de fijaciones en kit de montaje solar AC000059.",null
3,31,31,"2025-03-15","mantenimiento","Limpieza de filtros de AC de ventana AC000005.",null
4,32,32,"2025-04-01","mantenimiento","Mantenimiento preventivo caldera mixta AC000039.",null
5,33,33,"2025-05-10","mantenimiento","Verificación de calibración de termostato digital AC000072.",null
6,34,34,"2025-06-20","mantenimiento","Inspección visual de conductos flexibles AC000125.",null
7,35,35,"2025-07-01","mantenimiento","Verificación de cierre de válvula de radiador AC000148.",null
8,36,36,"2025-08-15","mantenimiento","Mantenimiento preventivo split inverter AC000013.",null
9,37,37,"2025-09-01","mantenimiento","Lectura de datos de medidor de energía trifásico AC000091.",null
10,38,38,"2025-10-10","mantenimiento","Limpieza de filtro magnético AC000119.",null
1,39,39,"2025-11-20","mantenimiento","Inspección visual de sistema de montaje en suelo solar AC000066.",null
2,40,40,"2025-12-01","mantenimiento","Limpieza de PTAC AC000020.",null
3,41,41,"2026-01-15","mantenimiento","Mantenimiento preventivo bomba de calor AC000031 (unidad exterior).",null
4,42,42,"2026-02-01","mantenimiento","Recalibración de sensor de presión AC000080.",null
5,43,43,"2026-03-10","mantenimiento","Limpieza de deshumidificador AC000134.",null
6,44,44,"2026-04-20","mantenimiento","Prueba de funcionamiento de bomba presurizadora AC000108.",null
7,45,45,"2026-05-01","mantenimiento","Monitorización de rendimiento de inversor híbrido AC000056.",null
8,46,46,"2026-06-15","mantenimiento","Mantenimiento preventivo split AC000002.",null
9,1,28,"2026-07-01","mantenimiento","Servicio técnico caldera gasóleo AC000028.",null
10,2,73,"2026-08-10","mantenimiento","Verificación de alarma de detector de CO AC000073.",null
1,3,141,"2026-09-20","mantenimiento","Inspección visual de tubería de cobre AC000141.",null
2,4,103,"2026-10-01","mantenimiento","Revisión de calentador de gas instantáneo AC000103.",null
3,5,60,"2026-11-15","mantenimiento","Inspección de kit de montaje solar AC000060.",null
4,6,16,"2026-12-01","mantenimiento","Mantenimiento preventivo split inverter AC000016.",null
5,7,92,"2027-01-10","mantenimiento","Descarga de datos de registrador AC000092.",null
6,8,47,"2027-02-20","mantenimiento","Limpieza de radiador zócalo AC000047.",null
7,9,122,"2027-03-01","mantenimiento","Limpieza de filtros en VREC AC000122.",null
8,10,114,"2027-04-15","mantenimiento","Verificación de estanqueidad de válvula bola AC000114.",null
9,11,53,"2027-05-01","mantenimiento","Limpieza de panel solar flexible AC000053.",null
10,12,4,"2027-06-10","mantenimiento","Mantenimiento preventivo split AC000004.",null
1,13,76,"2027-07-20","mantenimiento","Cambio de batería en sensor puerta/ventana AC000076.",null
2,14,137,"2027-08-01","mantenimiento","Verificación de lámpara UV-C AC000137.",null
3,15,102,"2027-09-15","mantenimiento","Revisión de termo eléctrico AC000102.",null
4,16,55,"2027-10-01","mantenimiento","Revisión de inversor solar trifásico AC000055.",null
5,17,89,"2027-11-10","mantenimiento","Verificación de actuador fan coil AC000089.",null
6,18,40,"2027-12-20","mantenimiento","Limpieza de radiador de aluminio AC000040.",null
7,19,116,"2028-01-01","mantenimiento","Verificación de cierre de válvula antirretorno AC000116.",null
8,20,67,"2028-02-15","mantenimiento","Inspección visual de interruptor seccionador CC AC000067.",null
9,21,6,"2024-07-01","retirada","Retirada física de unidad AC000006. Trasladada a almacén para gestión de residuos.",null
10,22,37,"2024-05-01","mantenimiento","Mantenimiento programado caldera pellets AC000037. Limpieza de cenicero y revisión de sinfín.",null
1,23,77,"2024-06-15","mantenimiento","Prueba periódica de sensor de fugas de agua AC000077. Funcionamiento OK.",null
2,24,129,"2024-07-01","mantenimiento","Inspección visual de compuerta antirretorno AC000129.",null
3,25,109,"2024-08-15","mantenimiento","Verificación de presión de vaso de expansión AC000109. Relleno a 1.5 bar.",null
4,26,52,"2024-09-01","mantenimiento","Limpieza de paneles solares AC000052 (4 unidades).",null
5,27,9,"2024-10-15","mantenimiento","Mantenimiento preventivo multi-zona AC000009 (unidad exterior y 3 interiores). Limpieza de filtros.",null
6,28,93,"2024-11-01","mantenimiento","Recalibración de sensor de presión diferencial AC000093.",null
7,29,45,"2024-12-15","mantenimiento","Revisión de calentador eléctrico instantáneo AC000045. Verificación de elementos calefactores.",null
8,30,138,"2025-01-01","mantenimiento","Limpieza de ventilador para campana de cocina AC000138.",null
9,31,61,"2025-02-15","mantenimiento","Inspección visual de cable solar AC000061. No se aprecian daños UV.",null
10,32,14,"2025-03-01","mantenimiento","Mantenimiento preventivo split inverter AC000014. Limpieza y revisión de carga.",null
1,33,110,"2025-04-15","mantenimiento","Verificación de presión de vaso de expansión AC000110.",null
2,34,84,"2025-05-01","mantenimiento","Verificación de funcionamiento de fuente KNX AC000084.",null
3,35,34,"2025-06-15","mantenimiento","Limpieza de radiador toallero AC000034.",null
4,36,123,"2025-07-01","mantenimiento","Limpieza de ventilador axial AC000123.",null
5,37,58,"2025-08-15","mantenimiento","Monitorización de regulador de carga solar AC000058.",null
6,38,99,"2025-09-01","mantenimiento","Verificación de funcionamiento de actuador de válvula AC000099.",null
7,39,48,"2025-10-15","mantenimiento","Inspección visual de acumulador hidrónico AC000048. No se aprecian fugas.",null
8,40,145,"2025-11-01","mantenimiento","Inspección de aislamiento de tubería AC000145.",null
9,41,19,"2025-12-15","mantenimiento","Limpieza de unidad interior mini-split AC000019.",null
10,42,74,"2026-01-01","mantenimiento","Cambio de batería en detector de humo AC000074.",null
1,43,130,"2026-02-15","mantenimiento","Limpieza de rejilla de aire AC000130.",null
2,44,113,"2026-03-01","mantenimiento","Verificación de temperatura de salida de válvula mezcladora AC000113.",null
3,45,64,"2026-04-15","mantenimiento","Monitorización de rendimiento de optimizador Solar Edge AC000064.",null
4,46,7,"2026-05-01","mantenimiento","Limpieza de filtros de AC portátil AC000007.",null
5,1,29,"2026-06-15","mantenimiento","Revisión de caldera eléctrica AC000029.",null
6,2,79,"2026-07-01","mantenimiento","Verificación de mediciones de sensor de caudal AC000079.",null
7,3,142,"2026-08-15","mantenimiento","Inspección visual de tubería PEX AC000142.",null
8,4,104,"2026-09-01","mantenimiento","Revisión de calentador de gas instantáneo AC000104.",null
9,5,68,"2026-10-15","mantenimiento","Inspección visual de interruptor seccionador CA AC000068.",null
10,6,17,"2026-11-01","mantenimiento","Limpieza de unidad interior mini-split AC000017.",null
1,7,94,"2026-12-15","mantenimiento","Prueba de funcionamiento de interruptor de caudal AC000094.",null
2,8,49,"2027-01-01","mantenimiento","Revisión de bomba de calor baja temperatura AC000049.",null
3,9,124,"2027-02-15","mantenimiento","Limpieza de ventilador centrífugo en línea AC000124.",null
4,10,115,"2027-03-01","mantenimiento","Verificación de cierre de válvula de compuerta AC000115.",null
5,11,50,"2027-04-15","mantenimiento","Limpieza de colectores solares térmicos AC000050.",null
6,12,8,"2027-05-01","mantenimiento","Mantenimiento preventivo multi-zona AC000008 (unidad exterior).",null
7,13,81,"2027-06-15","mantenimiento","Verificación de mediciones de sensor de nivel AC000081.",null
8,14,139,"2027-07-01","mantenimiento","Limpieza de extractor de baño AC000139.",null
9,15,105,"2027-08-15","mantenimiento","Revisión de bomba circuladora AC000105.",null
10,16,54,"2027-09-01","mantenimiento","Revisión de inversor solar AC000054.",null
1,17,95,"2027-10-15","mantenimiento","Prueba de funcionamiento de termostato protección antihielo AC000095.",null
2,18,41,"2027-11-01","mantenimiento","Limpieza de caldera de leña AC000041.",null
3,19,117,"2027-12-15","mantenimiento","Limpieza de separador de suciedad AC000117.",null
4,20,69,"2028-01-01","mantenimiento","Inspección visual de malla protección aves AC000069.",null
5,21,3,"2028-02-15","mantenimiento","Mantenimiento preventivo split AC000003.",null
