question,expected_answer,user_type,status
"¿Cómo reajustar el termostato inteligente después de un corte de luz?", "Generalmente se reajusta solo al restablecerse la energía, pero si no, verificar manual en sección 'Troubleshooting' o usar la app móvil.", "cliente", "pendiente"
"Error E10 en caldera AC000026, baja presión.", "Revisar manómetro del circuito de calefacción. Si está bajo (<1 bar), rellenar según manual. Si persiste, puede haber fuga y requiere técnico.", "cliente", "pendiente"
"¿Cuál es la vida útil esperada de un panel solar monocristalino AC000051?", "La garantía de producción suele ser de 25 años, la vida útil puede exceder los 30 años con mantenimiento adecuado.", "administrador", "revisado"
"Especificaciones técnicas completas del modelo AC000042 para un informe.", "Consultar ficha técnica del producto en el sistema de documentación.", "tecnico", "pendiente"
"¿Mi bomba de calor aerotérmica AC000030 necesita mantenimiento anual obligatorio?", "Sí, para mantener la garantía y asegurar eficiencia óptima, se recomienda mantenimiento anual por técnico cualificado.", "cliente", "pendiente"
"Configuración JSON para sensor de temperatura/humedad AC000078 en sala de servidores.", "{""ubicacion"": ""Sala Servidores"", ""intervalo_medicion_seg"": 60, ""umbral_temp_alarma_c"": 30.0}", "tecnico", "pendiente"
"¿Cómo se purga un radiador de panel de acero AC000033?", "Usar llave de purga en la válvula superior, abrir lentamente hasta que salga agua sin aire. Cerrar. Verificar presión caldera.", "cliente", "revisado"
"El deshumidificador AC000134 no recoge agua, ¿por qué?", "Revisar si el depósito está lleno, si el filtro está limpio, si la temperatura ambiente es adecuada o si hay error en el sensor de humedad.", "cliente", "pendiente"
"Necesito el manual de instalación de la válvula mezcladora termostática AC000113.", "Disponible en el repositorio de documentación técnica, buscar por SKU.", "administrador", "pendiente"
"¿Qué significa el error S1 en caldera AC000026?", "Error S1 generalmente indica un problema con la sonda de temperatura de ACS.", "tecnico", "pendiente"
"¿Cada cuánto debo limpiar los filtros de mi AC split AC000001?", "Depende del uso, pero generalmente cada 1-3 meses. Si hay mucho polvo, más a menudo.", "cliente", "revisado"
"La bomba circuladora AC000105 hace ruido, ¿es normal?", "Un ruido excesivo puede indicar aire en el circuito o un problema en el motor. Requeriría revisión técnica.", "tecnico", "pendiente"
"¿Puedo instalar yo mismo el detector de humo inalámbrico AC000074?", "Sí, son fáciles de instalar (generalmente con tornillos o adhesivo) y emparejar con el hub.", "cliente", "revisado"
"¿Cómo se sustituye la lámpara UV-C del esterilizador AC000137?", "Desconectar equipo, abrir compartimento según manual, retirar lámpara vieja, insertar nueva. Usar guantes.", "tecnico", "pendiente"
"Información sobre garantía del inversor híbrido AC000056.", "La garantía estándar es de 10 años, puede haber extensión con contrato de servicio.", "administrador", "revisado"
"Mi AC portátil AC000007 gotea agua, ¿qué hago?", "Verificar que el depósito de condensados no esté lleno o que la manguera de drenaje esté bien conectada y sin obstrucciones.", "cliente", "pendiente"
"Necesito saber el diámetro exacto de la tubería PEX AC000142.", "Las especificaciones indican 20mm.", "tecnico", "pendiente"
"¿Qué productos son compatibles con el sistema multi-zona AC000008?", "Generalmente las unidades interiores de la misma marca y serie (verificar modelos específicos como AC000017, AC000018, AC000019).", "administrador", "revisado"
"Error de comunicación en medidor de energía AC000090, Modbus.", "Verificar cableado RS485, configuración de dirección Modbus en el medidor y en el sistema de lectura.", "tecnico", "pendiente"
"¿Funciona el sensor de movimiento AC000075 en exteriores?", "No, está diseñado para interiores (PIR) y puede dar falsas alarmas en exteriores por cambios de temperatura/sol.", "cliente", "revisado"
"Información sobre eficiencia energética de caldera AC000026.", "Tiene una eficiencia ERP de A+ (94% de eficiencia estacional).", "administrador", "pendiente"
"¿Puedo añadir más paneles solares a mi instalación con inversor AC000054?", "Sí, hasta la capacidad máxima del inversor (5kW) y del diseño de la string. Consultar ficha técnica del inversor.", "cliente", "revisado"
"Problema con vaso de expansión AC000109, pierde presión rápidamente.", "Indica posible daño en la membrana interna. Requeriría sustitución del vaso.", "tecnico", "pendiente"
"¿Qué mantenimiento requiere un ventilador con recuperador de calor AC000121?", "Principalmente limpieza o sustitución periódica de filtros, e inspección del intercambiador de calor.", "cliente", "pendiente"
"¿Cómo se calibra el sensor de luz AC000082?", "Generalmente se realiza mediante software conectado al sensor o ajustando un potenciómetro interno según las instrucciones del manual.", "tecnico", "pendiente"
"La bomba presurizadora AC000108 hace un ciclo corto frecuente.", "Puede indicar fuga en la red de agua o problema con el presostato/membrana del vaso de expansión (si aplica).", "cliente", "pendiente"
"Necesito comprar filtros de repuesto para purificador AC000133.", "Buscar filtros tipo HEPA + Carbón activado con las dimensiones especificadas en el manual.", "administrador", "revisado"
"¿Cuál es la garantía de los conectores MC4 AC000063?", "Los conectores tienen una garantía limitada de 1-2 años, su vida útil es más larga si la instalación es correcta.", "administrador", "pendiente"
"Error en el actuador de compuerta AC000088, no se mueve.", "Verificar alimentación eléctrica (24V), señal de control (0-10V o On/Off) y revisar posibles obstrucciones mecánicas.", "tecnico", "pendiente"
"¿Los radiadores de aluminio AC000040 se calientan más rápido que los de acero?", "Sí, el aluminio tiene mayor conductividad térmica y menor inercia, por lo que responden más rápido a los cambios de temperatura del agua.", "cliente", "revisado"
"Información sobre el alcance del sensor de nivel ultrasónico AC000081.", "Tiene un alcance máximo de 5 metros.", "administrador", "pendiente"
"Mi calentador de gas instantáneo AC000103 no enciende la llama piloto.", "Verificar suministro de gas, sensor de llama (termopar o ionización) o posible obstrucción en el quemador piloto.", "cliente", "pendiente"
"¿Para qué se utiliza la malla de protección contra aves AC000069 en paneles solares?", "Para evitar que las aves aniden bajo los paneles, lo que puede dañar el cableado y obstruir la ventilación.", "administrador", "revisado"
"Problema con válvula de bola AC000114, gotea por el eje.", "Indica posible desgaste en el sello del eje (prensaestopas). A veces se puede apretar o requiere sustitución.", "tecnico", "pendiente"
"¿Cómo se descarga la información del registrador de datos AC000092?", "Generalmente conectándolo a un PC vía USB y utilizando el software proporcionado por el fabricante.", "cliente", "revisado"
"Error en bomba de calor baja temperatura AC000049, baja presión en circuito.", "Podría indicar fuga en el circuito primario (fuente terrestre o aerotérmica). Requiere detección y reparación.", "tecnico", "pendiente"
"¿Qué es la recuperación entálpica en un VREC como el AC000122?", "Además de calor, recupera parte de la humedad del aire de extracción, ayudando a mantener niveles de humedad interior en invierno.", "administrador", "revisado"
"Problema con el cable solar AC000061, parece dañado.", "Inspeccionar el daño. Los cables dañados (cubierta UV, conexiones) deben ser reemplazados para evitar riesgos y pérdidas.", "tecnico", "pendiente"
"¿Sirve la válvula antirretorno AC000116 para agua caliente?", "Sí, la mayoría son aptas para agua fría y caliente, verificar especificaciones de temperatura máxima.", "cliente", "pendiente"
"Configuración de red para medidor de energía trifásico AC000091 vía Modbus RTU.", "Configurar velocidad, paridad, data bits y dirección Modbus en el medidor y el concentrador/sistema SCADA.", "tecnico", "pendiente"
"Mi humidificador AC000135 no produce vapor.", "Verificar nivel de agua, limpieza de la membrana/elemento evaporador, y si el ventilador funciona.", "cliente", "pendiente"
"¿Qué tipo de mantenimiento requiere un vaso de expansión AC000109?", "Verificar periódicamente la presión de la precarga de aire y rellenar si es necesario. Inspección visual de corrosión.", "tecnico", "revisado"
"Error en inversor solar AC000054, no inyecta a red.", "Verificar conexión a red (fallo eléctrico?), voltaje de strings DC, y mensajes de error en el display o app de monitorización.", "tecnico", "pendiente"
"¿Cómo funciona la protección antihielo del termostato AC000095?", "Si la temperatura detectada baja del punto de ajuste (ej. 5°C), activa una salida (ej. bomba o válvula) para evitar congelación.", "administrador", "revisado"
"Problema con caldera de leña AC000041, mucho humo.", "Puede deberse a leña húmeda, tiro inadecuado (chimenea sucia/bloqueada), o problema de combustión (aire primario/secundario mal ajustado).", "cliente", "pendiente"
"¿Para qué se usa un separador de suciedad AC000117?", "Para eliminar partículas sólidas (barros, óxido) del circuito de calefacción, protegiendo la caldera y bombas.", "administrador", "pendiente"
"Mi AC split AC000003 hace un ruido extraño al encender.", "Podría ser el ventilador interior/exterior desbalanceado o con obstrucciones, o problema en el compresor al arranque.", "cliente", "pendiente"
"¿Qué es un actuador de válvula AC000099?", "Es un dispositivo que mueve una válvula (la abre o cierra) basado en una señal de control (eléctrica, neumática, etc.).", "administrador", "revisado"
"Problema con batería solar AC000057, no carga completamente.", "Verificar configuración del regulador de carga o inversor híbrido, estado de las celdas individuales, o temperatura de la batería.", "tecnico", "pendiente"
"¿El cable solar AC000061 es resistente a la intemperie?", "Sí, está diseñado específicamente para uso exterior con resistencia a UV y humedad.", "cliente", "revisado"
"Error en PTAC AC000020, no calienta.", "Verificar modo de operación, ajuste de temperatura, alimentación eléctrica al elemento calefactor o falla en termostato interno.", "tecnico", "pendiente"
"¿Qué diferencias hay entre AC000103 (12L/min) y AC000104 (18L/min)?", "La principal diferencia es el caudal de agua caliente que pueden suministrar por minuto, afectando cuántos puntos de consumo pueden atender simultáneamente.", "administrador", "pendiente"
"Mi bomba circuladora AC000105 no funciona, está bloqueada.", "Intentar purgar el aire del circuito. Si persiste, podría estar atascada por suciedad o tener fallo en el motor. Requiere revisión.", "cliente", "pendiente"
"Problema con el sensor de caudal AC000079, no mide.", "Verificar si hay flujo de agua, si el impulsor gira libremente o si hay problema con la señal de salida/conexión eléctrica.", "tecnico", "pendiente"
"¿La tubería PEX AC000142 es apta para agua caliente sanitaria?", "Sí, este tipo de tubería PEX-AL-PEX o PEX-b/c está certificado para ACS, verificar especificaciones del fabricante.", "cliente", "revisado"
"Error en la compuerta antirretorno AC000129, no cierra.", "Podría estar obstruida por suciedad o tener daño mecánico en la aleta o muelle. Requiere inspección y limpieza.", "tecnico", "pendiente"
"¿Qué es un separador de aire AC000118 y dónde se instala?", "Elimina microburbujas de aire del circuito de calefacción. Se instala típicamente en el punto más alto del sistema o cerca de la caldera.", "administrador", "pendiente"
"Problema con la válvula reductora de presión AC000111, presión de salida incorrecta.", "Podría deberse a suciedad interna, desgaste en la membrana o desajuste. Requiere limpieza o ajuste/sustitución.", "tecnico", "pendiente"
"¿Puedo usar el kit de montaje AC000060 en un tejado inclinado?", "No, este modelo es específico para tejados planos con sistema de lastre. Necesitas un kit para tejado inclinado (ej. AC000059).", "cliente", "pendiente"
"¿Qué significa el error E4 en mi AC portátil AC000007?", "El error E4 suele indicar un problema con el sensor de temperatura de la unidad interior o exterior.", "tecnico", "pendiente"
"Necesito información sobre el mantenimiento de medidores de energía AC000090/AC000091.", "Principalmente verificación de conexiones, limpieza y, si es un medidor fiscal (MID), calibraciones periódicas según normativa.", "administrador", "revisado"
"Mi termo bomba de calor ACS AC000046 hace mucho ruido.", "Revisar si el ventilador exterior está limpio, si la bomba de calor está bien anclada o si hay vibraciones en las tuberías.", "cliente", "pendiente"