sku,name,description,price,spec_json
"AC000001","Sistema Split AC 9000 BTU","Sistema split eficiente para refrigerar habitaciones individuales.",650.50,"{""BTU"": 9000, ""SEER"": 18.5, ""NivelRuido_dB"": 25, ""Refrigerante"": ""R410a"", ""Cobertura_sqft"": 400}"
"AC000002","Sistema Split AC 12000 BTU","Ideal para habitaciones de tamaño medio, alta eficiencia.",780.00,"{""BTU"": 12000, ""SEER"": 20.0, ""NivelRuido_dB"": 26, ""Refrigerante"": ""R410a"", ""Cobertura_sqft"": 550}"
"AC000003","Sistema Split AC 18000 BTU","Potente refrigeración para espacios más grandes.",1150.75,"{""BTU"": 18000, ""SEER"": 17.0, ""NivelRuido_dB"": 28, ""Refrigerante"": ""R410a"", ""Cobertura_sqft"": 800}"
"AC000004","Sistema Split AC 24000 BTU","Diseñado para grandes salones o múltiples habitaciones.",1420.00,"{""BTU"": 24000, ""SEER"": 16.5, ""NivelRuido_dB"": 30, ""Refrigerante"": ""R410a"", ""Cobertura_sqft"": 1100}"
"AC000005","Unidad AC de Ventana 5000 BTU","Unidad de ventana compacta y fácil de instalar.",220.00,"{""BTU"": 5000, ""EER"": 11.0, ""NivelRuido_dB"": 50, ""Cobertura_sqft"": 150}"
"AC000006","Unidad AC de Ventana 8000 BTU","Unidad de ventana más potente para dormitorios.",310.50,"{""BTU"": 8000, ""EER"": 10.8, ""NivelRuido_dB"": 52, ""Cobertura_sqft"": 300}"
"AC000007","Unidad AC Portátil 10000 BTU","Solución de refrigeración móvil con control remoto.",380.00,"{""BTU"": 10000, ""EER"": 9.5, ""NivelRuido_dB"": 54, ""Cobertura_sqft"": 350, ""TipoDrenaje"": ""Autoevaporable""}"
"AC000008","AC Multi-Zona Sin Ductos 18000 BTU (2-Zonas)","Conecta hasta 2 unidades interiores a una exterior.",1850.00,"{""BTU_Exterior"": 18000, ""SEER"": 19.0, ""Zonas"": 2, ""Refrigerante"": ""R410a""}"
"AC000009","AC Multi-Zona Sin Ductos 27000 BTU (3-Zonas)","Refrigeración flexible para 3 áreas.",2500.00,"{""BTU_Exterior"": 27000, ""SEER"": 18.0, ""Zonas"": 3, ""Refrigerante"": ""R410a""}"
"AC000010","AC Central por Ductos 3 Ton","Sistema para refrigeración de toda la casa.",2900.00,"{""Capacidad_Ton"": 3, ""BTU"": 36000, ""SEER"": 16.0, ""TipoSistema"": ""Split por Ductos"", ""Refrigerante"": ""R410a""}"
"AC000011","AC Central por Ductos 4 Ton","Refrigeración central de alta capacidad.",3500.00,"{""Capacidad_Ton"": 4, ""BTU"": 48000, ""SEER"": 15.5, ""TipoSistema"": ""Split por Ductos"", ""Refrigerante"": ""R410a""}"
"AC000012","AC Comercial de Tejado 5 Ton","Unidad robusta para edificios comerciales.",5500.00,"{""Capacidad_Ton"": 5, ""BTU"": 60000, ""EER"": 12.0, ""Montaje"": ""Tejado"", ""Voltaje"": ""208/230V Trifásico""}"
"AC000013","AC Split Inverter 9000 BTU","Tecnología inverter de ahorro energético.",750.00,"{""BTU"": 9000, ""SEER"": 22.0, ""Tecnología"": ""Inverter"", ""NivelRuido_dB"": 23, ""Refrigerante"": ""R32""}"
"AC000014","AC Split Inverter 12000 BTU","Compresor de velocidad variable para confort óptimo.",920.00,"{""BTU"": 12000, ""SEER"": 23.5, ""Tecnología"": ""Inverter"", ""NivelRuido_dB"": 24, ""Refrigerante"": ""R32""}"
"AC000015","AC Split Inverter 18000 BTU","AC inverter de alto rendimiento.",1300.00,"{""BTU"": 18000, ""SEER"": 21.0, ""Tecnología"": ""Inverter"", ""NivelRuido_dB"": 27, ""Refrigerante"": ""R32""}"
"AC000016","AC Split Inverter 24000 BTU","Potente sistema inverter para áreas más grandes.",1650.00,"{""BTU"": 24000, ""SEER"": 20.5, ""Tecnología"": ""Inverter"", ""NivelRuido_dB"": 29, ""Refrigerante"": ""R32""}"
"AC000017","Unidad Interior Mini-Split 9000 BTU","Unidad de cabeza interior para sistemas multi-split.",300.00,"{""BTU"": 9000, ""TipoUnidad"": ""Interior"", ""Compatibilidad"": ""Sistemas Multi-Split""}"
"AC000018","Unidad Interior Mini-Split 12000 BTU","Unidad de cabeza interior para sistemas multi-split.",350.00,"{""BTU"": 12000, ""TipoUnidad"": ""Interior"", ""Compatibilidad"": ""Sistemas Multi-Split""}"
"AC000019","Unidad Interior Mini-Split 18000 BTU","Unidad de cabeza interior para sistemas multi-split.",450.00,"{""BTU"": 18000, ""TipoUnidad"": ""Interior"", ""Compatibilidad"": ""Sistemas Multi-Split""}"
"AC000020","AC Terminal Empaquetado (PTAC) 15000 BTU","Unidad de pared para hoteles/moteles.",700.00,"{""BTU"": 15000, ""EER"": 10.5, ""Voltaje"": ""230V"", ""Aplicación"": ""Hostelería""}"
"AC000021","Enfriadora de Agua 50 Ton","Sistema de enfriamiento de agua a gran escala.",25000.00,"{""Capacidad_Ton"": 50, ""TipoSistema"": ""Enfriadora de Agua"", ""Refrigerante"": ""R134a"", ""Aplicación"": ""Comercial/Industrial""}"
"AC000022","Unidad Fan Coil 400 CFM","Unidad interior para sistemas de agua enfriada.",280.00,"{""FlujoAire_CFM"": 400, ""TipoSistema"": ""Agua Enfriada"", ""Montaje"": ""Techo/Pared""}"
"AC000023","Prefiltro 20x20x1","Filtro de aire plisado estándar.",15.00,"{""Tamaño"": ""20x20x1 pulgadas"", ""ClasificacionMERV"": 8, ""Tipo"": ""Filtro Plisado""}"
"AC000024","Filtro HEPA 12x12x6","Filtro de aire de partículas de alta eficiencia.",80.00,"{""Tamaño"": ""12x12x6 pulgadas"", ""ClasificacionMERV"": 17, ""Tipo"": ""Filtro HEPA""}"
"AC000025","Base para Condensador 30x30","Base duradera para unidades exteriores de AC.",50.00,"{""Tamaño"": ""30x30 pulgadas"", ""Material"": ""Compuesto"", ""Aplicación"": ""Base Unidad Exterior""}"
"AC000026","Caldera de Gas Alta Eficiencia 24kW","Caldera de gas de condensación compacta para calefacción central.",1800.00,"{""PotenciaSalida_kW"": 24, ""Eficiencia"": 94.0, ""TipoCombustible"": ""Gas Natural"", ""Tipo"": ""Mixta Condensación""}"
"AC000027","Caldera de Gas Alta Eficiencia 30kW","Potente caldera de gas para calefacción y agua caliente.",2100.00,"{""PotenciaSalida_kW"": 30, ""Eficiencia"": 93.5, ""TipoCombustible"": ""Gas Natural"", ""Tipo"": ""Mixta Condensación""}"
"AC000028","Caldera de Gasóleo 20kW","Caldera estándar de gasóleo.",1500.00,"{""PotenciaSalida_kW"": 20, ""Eficiencia"": 88.0, ""TipoCombustible"": ""Gasóleo Calefacción"", ""Tipo"": ""Convencional""}"
"AC000029","Caldera Eléctrica 12kW","Caldera eléctrica para sistemas de calefacción.",850.00,"{""PotenciaSalida_kW"": 12, ""Eficiencia"": 99.0, ""TipoCombustible"": ""Eléctrico"", ""Voltaje"": ""400V Trifásico""}"
"AC000030","Bomba de Calor Aerotérmica 7kW (Monobloc)","Bomba de calor monobloc para calefacción y refrigeración.",3500.00,"{""PotenciaSalida_kW"": 7, ""SCOP"": 4.5, ""SEER"": 4.2, ""Tipo"": ""Aerotermia Monobloc""}"
"AC000031","Bomba de Calor Aerotérmica 10kW (Split)","Sistema split de bomba de calor para diversas aplicaciones.",4200.00,"{""PotenciaSalida_kW"": 10, ""SCOP"": 4.8, ""SEER"": 4.4, ""Tipo"": ""Aerotermia Split""}"
"AC000032","Bomba de Calor Geotérmica 15kW (Vertical)","Sistema de bomba de calor de fuente terrestre.",8000.00,"{""PotenciaSalida_kW"": 15, ""COP"": 5.0, ""TipoSistema"": ""Geotermia Lazo Vertical""}"
"AC000033","Radiador de Panel de Acero 600x1000mm","Radiador de panel hidrónico estándar.",80.00,"{""Tamaño_mm"": ""600x1000"", ""Material"": ""Acero"", ""PotenciaCalor_W"": 1200, ""Tipo"": ""Doble Panel""}"
"AC000034","Radiador Toallero Cromado 500x1200mm","Radiador toallero elegante para baños.",150.00,"{""Tamaño_mm"": ""500x1200"", ""Material"": ""Acero Cromado"", ""PotenciaCalor_W"": 500, ""Tipo"": ""Toallero""}"
"AC000035","Tubería para Suelo Radiante 16mm (100m)","Tubería PEX para sistemas de suelo radiante.",120.00,"{""Diámetro_mm"": 16, ""Material"": ""PEX-AL-PEX"", ""Longitud_m"": 100, ""Aplicación"": ""Suelo Radiante""}"
"AC000036","Colector Suelo Radiante (8-Zonas)","Colector para distribuir el flujo en sistemas de suelo radiante.",250.00,"{""Zonas"": 8, ""Material"": ""Latón"", ""Aplicación"": ""Suelo Radiante""}"
"AC000037","Caldera de Pellets 25kW","Caldera automática de pellets de madera.",3500.00,"{""PotenciaSalida_kW"": 25, ""Eficiencia"": 91.0, ""TipoCombustible"": ""Pellets Madera"", ""CapacidadTolva_L"": 200}"
"AC000038","Bomba de Calor Aire-Agua 12kW","Bomba de calor para sistemas hidrónicos de calefacción.",4000.00,"{""PotenciaSalida_kW"": 12, ""SCOP"": 4.7, ""Aplicación"": ""Calefacción Hidrónica/ACS""}"
"AC000039","Caldera Mixta de Condensación 35kW","Alta potencia para calefacción y agua caliente instantánea.",2500.00,"{""PotenciaSalida_kW"": 35, ""Eficiencia"": 95.0, ""TipoCombustible"": ""Gas Natural"", ""Caudal_ACS_LPM"": 16}"
"AC000040","Radiador de Aluminio 500x800mm","Radiador ligero y de respuesta rápida.",100.00,"{""Tamaño_mm"": ""500x800"", ""Material"": ""Aluminio"", ""PotenciaCalor_W"": 1000}"
"AC000041","Caldera de Leña 20kW","Caldera tradicional de leña.",1200.00,"{""PotenciaSalida_kW"": 20, ""TipoCombustible"": ""Leña"", ""Eficiencia"": 85.0}"
"AC000042","Bomba de Calor Aerotérmica Comercial 50kW","Bomba de calor a gran escala para uso comercial.",15000.00,"{""PotenciaSalida_kW"": 50, ""SCOP"": 4.2, ""Aplicación"": ""Calefacción/Refrigeración Comercial""}"
"AC000043","Radiador de Hierro Fundido 700x500mm","Radiador clásico de hierro fundido.",300.00,"{""Tamaño_mm"": ""700x500"", ""Material"": ""Hierro Fundido"", ""PotenciaCalor_W"": 800}"
"AC000044","Acumulador de ACS 200L","Cilindro aislado para agua caliente sanitaria.",400.00,"{""Capacidad_L"": 200, ""Tipo"": ""Interacumulador Indirecto"", ""Material"": ""Acero""}"
"AC000045","Calentador de Agua Eléctrico Instantáneo 9kW","Calentador eléctrico instantáneo sin depósito.",250.00,"{""PotenciaSalida_kW"": 9, ""Tipo"": ""Calentador Eléctrico Instantáneo"", ""Caudal_LPM"": 5}"
"AC000046","Termo Bomba de Calor ACS 250L","Bomba de calor aerotérmica para agua caliente.",1200.00,"{""Capacidad_L"": 250, ""Tipo"": ""Termo Bomba de Calor"", ""COP"": 3.0}"
"AC000047","Radiador Zócalo 1m","Calefacción hidrónica integrada en el zócalo.",90.00,"{""Longitud_m"": 1, ""Tipo"": ""Radiador Zócalo"", ""PotenciaCalor_W/m"": 300}"
"AC000048","Acumulador Hidrónico 500L","Depósito para almacenar calor en sistemas hidrónicos.",600.00,"{""Capacidad_L"": 500, ""Aplicación"": ""Acumulador Hidrónico""}"
"AC000049","Bomba de Calor Baja Temperatura 8kW","Bomba de calor optimizada para sistemas de baja temperatura.",3800.00,"{""PotenciaSalida_kW"": 8, ""SCOP"": 5.0, ""RangoTemp"": ""Baja Temp""}"
"AC000050","Colector Solar Térmico (Placa Plana)","Colector de placa plana para agua caliente solar.",450.00,"{""Tipo"": ""Placa Plana"", ""Área_sqm"": 2.5, ""Aplicación"": ""Solar Térmica ACS""}"
"AC000051","Panel Solar Monocristalino 400W","Panel solar de alta eficiencia.",180.00,"{""Tipo"": ""Monocristalino"", ""Potencia_W"": 400, ""Eficiencia"": 22.0, ""Dimensiones_mm"": ""1755x1038x35""}"
"AC000052","Panel Solar Policristalino 350W","Panel solar estándar.",150.00,"{""Tipo"": ""Policristalino"", ""Potencia_W"": 350, ""Eficiencia"": 19.5, ""Dimensiones_mm"": ""1956x992x40""}"
"AC000053","Panel Solar Flexible 100W","Panel ligero y flexible.",120.00,"{""Tipo"": ""Flexible"", ""Potencia_W"": 100, ""Eficiencia"": 18.0, ""Peso_kg"": 2.0}"
"AC000054","Inversor Solar 5kW (Monofásico)","Inversor para sistemas solares residenciales.",800.00,"{""Potencia_kW"": 5, ""Fase"": ""Monofásico"", ""Eficiencia"": 98.0, ""Tipo"": ""Inversor String""}"
"AC000055","Inversor Solar 10kW (Trifásico)","Inversor para sistemas solares comerciales.",1500.00,"{""Potencia_kW"": 10, ""Fase"": ""Trifásico"", ""Eficiencia"": 98.5, ""Tipo"": ""Inversor String""}"
"AC000056","Inversor Solar Híbrido 6kW","Inversor con capacidad de almacenamiento en batería.",1200.00,"{""Potencia_kW"": 6, ""Tipo"": ""Híbrido"", ""CompatibilidadBatería"": ""Sí""}"
"AC000057","Batería Solar 10kWh","Batería de iones de litio para almacenamiento de energía.",4500.00,"{""Capacidad_kWh"": 10, ""Tipo"": ""Litio-ion"", ""Voltaje"": ""48V""}"
"AC000058","Regulador de Carga Solar 60A (MPPT)","Regulador para sistemas solares aislados.",200.00,"{""Corriente_A"": 60, ""Tipo"": ""MPPT"", ""Voltaje"": ""12V/24V/48V""}"
"AC000059","Kit de Montaje Solar (Tejado Inclinado)","Kit para instalar paneles en tejado de teja.",50.00,"{""Tipo"": ""Kit Montaje"", ""TipoTejado"": ""Inclinado Teja"", ""Capacidad_Paneles"": 4}"
"AC000060","Kit de Montaje Solar (Tejado Plano)","Kit para instalar paneles en tejado plano.",60.00,"{""Tipo"": ""Kit Montaje"", ""TipoTejado"": ""Plano"", ""Capacidad_Paneles"": 4}"
"AC000061","Cable Solar 4mm² (Rojo, 100m)","Cable solar resistente a UV.",80.00,"{""Tamaño_mm2"": 4, ""Color"": ""Rojo"", ""Longitud_m"": 100, ""VoltajeNominal_V"": 1000}"
"AC000062","Cable Solar 4mm² (Negro, 100m)","Cable solar resistente a UV.",80.00,"{""Tamaño_mm2"": 4, ""Color"": ""Negro"", ""Longitud_m"": 100, ""VoltajeNominal_V"": 1000}"
"AC000063","Par de Conectores MC4","Conectores estándar para paneles solares.",5.00,"{""Tipo"": ""MC4"", ""Aplicación"": ""Conexiones Solares""}"
"AC000064","Optimizador Solar Edge P405","Optimizador de potencia a nivel de módulo.",60.00,"{""Marca"": ""Solar Edge"", ""Tipo"": ""Optimizador"", ""Compatibilidad"": ""Serie P""}"
"AC000065","Teja Solar 50W","Panel solar integrado en teja.",30.00,"{""Tipo"": ""Teja Solar"", ""Potencia_W"": 50, ""Color"": ""Negro""}"
"AC000066","Sistema de Montaje en Suelo Solar (10 Paneles)","Estructura para montar paneles en el suelo.",400.00,"{""Tipo"": ""Montaje Suelo"", ""Capacidad_Paneles"": 10}"
"AC000067","Interruptor Seccionador CC Solar 32A","Interruptor de seguridad para circuitos solares de CC.",35.00,"{""Tipo"": ""Interruptor Seccionador CC"", ""Corriente_A"": 32, ""Polos"": 4}"
"AC000068","Interruptor Seccionador CA Solar 40A","Interruptor de seguridad para circuitos solares de CA.",25.00,"{""Tipo"": ""Interruptor Seccionador CA"", ""Corriente_A"": 40, ""Polos"": 2}"
"AC000069","Malla Protección Aves (30m)","Malla para evitar que las aves aniden bajo los paneles.",40.00,"{""Tipo"": ""Accesorio"", ""Aplicación"": ""Protección Aves"", ""Longitud_m"": 30}"
"AC000070","Pasarela Monitorización Solar","Dispositivo para monitorizar el rendimiento del sistema solar.",150.00,"{""Tipo"": ""Monitorización"", ""Conectividad"": ""Ethernet/Wifi""}"
"AC000071","Termostato Inteligente (Programable)","Termostato con Wi-Fi para control HVAC.",180.00,"{""Tipo"": ""Termostato"", ""Conectividad"": ""Wi-Fi"", ""Características"": [""Programable"", ""Acceso Remoto"", ""Aprendizaje""]}"
"AC000072","Termostato Digital (No Programable)","Termostato digital simple.",40.00,"{""Tipo"": ""Termostato"", ""Conectividad"": ""Cableado"", ""Características"": [""Pantalla Digital""]}"
"AC000073","Detector de CO (Cableado)","Sensor de monóxido de carbono.",60.00,"{""Tipo"": ""Sensor"", ""GasDetectado"": ""CO"", ""Alimentación"": ""Cableado"", ""NivelAlarma_ppm"": 50}"
"AC000074","Detector de Humo (Inalámbrico)","Sensor de humo alimentado por batería.",35.00,"{""Tipo"": ""Sensor"", ""GasDetectado"": ""Humo"", ""Alimentación"": ""Batería"", ""Conectividad"": ""Inalámbrico""}"
